id;distance;journey_duration;actual_departure_time;planned_departure_time;actual_arrival_time;planned_arrival_time;ticket_price;number_of_stops;time_of_stops;minutes_late
1;13739;38594;2023-01-29T00:55:58;2023-01-29T01:59:31;2023-01-29T15:50:58;2023-01-29T03:36:10;31951;23853;3695;87331
2;3668;30075;2023-01-29T03:19:42;2023-01-29T07:51:25;2023-01-28T23:43:23;2023-01-29T17:25:38;10579;67700;37574;11796
3;90936;85483;2023-01-29T05:20:25;2023-01-29T10:47:27;2023-01-29T02:58:24;2023-01-29T18:51:47;13164;61076;89853;66296
4;86894;49108;2023-01-29T08:18:36;2023-01-29T03:55:42;2023-01-29T17:02:08;2023-01-28T21:18:08;78346;14837;58620;11954
5;36562;80154;2023-01-29T06:41:39;2023-01-29T03:54:51;2023-01-29T01:41:57;2023-01-29T00:45:57;5191;33447;865;11718
6;25758;1294;2023-01-29T03:17:12;2023-01-29T15:25:21;2023-01-29T10:55:07;2023-01-28T22:00:24;8146;91780;28504;91101
7;64147;64601;2023-01-29T14:13:25;2023-01-29T00:24:48;2023-01-29T08:58:37;2023-01-29T19:13:42;32244;81126;94063;52252
8;37557;41697;2023-01-29T05:35:36;2023-01-29T18:59:34;2023-01-29T13:30:27;2023-01-29T06:38:35;29193;49617;92264;98706
9;66750;45419;2023-01-29T13:05:37;2023-01-29T09:01:19;2023-01-29T03:06:58;2023-01-29T13:22:08;18542;30868;55856;49580
10;98144;75109;2023-01-29T00:09:27;2023-01-29T07:25:51;2023-01-29T02:36:39;2023-01-28T23:34:15;21443;770;19009;1941
